company,organizations,stock,parades,industry,subsidiaries,sum,rga,raga,rslc,from,Emails (comma separated),url
Amazon,Human Rights Campaign,,"CA, TN, UT",Tech & Media,"Twitch, Audible, Whole Foods, GoodReads, Amazon MGM Studios",670000,390000,155000,125000,"RGA,RAGA,RSLC","ajassy@amazon.com, dherring@amazon.com, vduong@amazon.com, bolsavsky@amazon.com, jeff@amazon.com",https://vectorseek.com/wp-content/uploads/2023/06/Amazon-Pride-Logo-Rainbow-Colors.jpg
Anheuser-Busch,,,AZ,Food & Beverage,"Budweiser, Bud Light, Corona, Stella Artois, Michelob, Busch, Natural Light",200000,0,200000,0,RAGA,"cesar.vargas@ab-inbev.com, jake.kirsch@ab-inbev.com, kyle.norrington@ab-inbev.com, lindsay.king@ab-inbev.com, ricardo.mattos@ab-inbev.com, simon.wuestenberg@ab-inbev.com","https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/production/public/TNZ3NBICUJFHHFA652H4CLHO6E.jpg?_a=DATAg1fkZAA0"
Bank of America,Human Rights Campaign,,TX,Finance,,90000,50000,37500,2500,"RGA,RAGA,RSLC","raul.anaya@bofa.com, dean.athanasia@bofa.com, aditya.bhasin@bofa.com, steve.boland@bofa.com, alastair.borthwick@bofa.com, len.botkin@bofa.com, sheri.bronstein@bofa.com, james.demare@bofa.com, geoffrey.greener@bofa.com, matthew.koder@bofa.com, aron.levine@bofa.com, bernard.mensah@bofa.com, sharon.miller@bofa.com, lauren.mogensen@bofa.com, thong.nguyen@bofa.com, holly.oneill@bofa.com, tom.scrivener@bofa.com",https://logos-world.net/wp-content/uploads/2023/08/Logo-Bank-of-America.png
Chipotle,GLAAD,,CA,Shopping & Restaurants,,51500,51500,0,0,RGA,"sboatwright@chipotle.com, arymer@chipotle.com, cgarner@chipotle.com, lschalow@chipotle.com, sperdue@chipotle.com",https://i.guim.co.uk/img/media/b2ff69c32ec8fcbb4139c1f83f38882827d06a75/177_0_2317_1392/master/2317.jpg?width=700&quality=85&auto=format&fit=max&s=6d3bf5352357e67edee396a608771adb
Coca-Cola,GLAAD,,CA,Food & Beverage,,641192,310000,101192,230000,"RGA,RAGA,RSLC","hbraun@coca-cola.com, marroyo@coca-cola.com, tchandele@coca-cola.com, mhowarddouglas@coca-cola.com, clorenzo@coca-cola.com, bpietracci@coca-cola.com, nquan@coca-cola.com, ssalingansahin@coca-cola.com, tbeiger@coca-cola.com, scareaga@coca-cola.com, jgilbert@coca-cola.com, gleclerc@coca-cola.com, jmanning@coca-cola.com, emay@coca-cola.com, bmcguinness@coca-cola.com, rmercade@coca-cola.com, cpagoaga@coca-cola.com, ntolmare@coca-cola.com, mwestfall@coca-cola.com, azaheer@coca-cola.com",https://scontent-lax7-1.xx.fbcdn.net/v/t39.30808-6/503709219_1307185564745892_6815706214979074249_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Mej_yVuHcwUQ7kNvwHiI3K8&_nc_oc=AdrkeCCJJBvLPjrySjvO_cSPSgYGraKXsvCE6uJKfQ06MiVdfzv35hGeIJ0lXE4Ix3M&_nc_zt=23&_nc_ht=scontent-lax7-1.xx&_nc_gid=hwMmci1bpP8qmpLjHC-zAg&_nc_ss=7b289&oh=00_Af5mKQ4Xz-9tIT-Fds2I2wcUKTDN9o1AlunAi8VAaXTdRA&oe=6A1FBA07
Comcast,GLAAD,,CA,Tech & Media,"NBCUniversal, Xfinity",1355214,1141517,83697,130000,"RGA,RAGA,RSLC","brian_roberts@comcast.com, michael_angelakis@comcast.com, melissa_maxfield@comcast.com, karen_buchholz@comcast.com, sena_fitzmaurice@comcast.com, justin_smith@comcast.com, dave_watson@cable.comcast.com, william_strahan@cable.comcast.com, bill_connors@cable.comcast.com",https://imgs.search.brave.com/oo9gyiQy0GrIJBzApBLLrDdjFCfvXy0RGcpbeuC715k/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/cG5nYWxsLmNvbS93/cC1jb250ZW50L3Vw/bG9hZHMvMTUvQ29t/Y2FzdC1Mb2dvLVBO/Ry1CYWNrZ3JvdW5k/LnBuZw
CVS,,,TX,Health,Aetna,1000000,585000,250000,165000,"RGA,RAGA,RSLC","david.joyner@cvshealth.com, heidi.capozzi@cvshealth.com, sree.chaguturu@cvshealth.com, amy.compton-phillips@cvshealth.com, ed.devaney@cvshealth.com, sam.khichi@cvshealth.com, tilak.mandadi@cvshealth.com, brian.newman@cvshealth.com, prem.shah@cvshealth.com",https://gz4c.org/paybackpride/assets/aetna.jpeg
Dell,Human Rights Campaign,,,Tech & Media,,100000,100000,0,0,RGA,"michael.dell@dell.com, jeff.clarke@dell.com, david.kennedy@dell.com, geraldine.tunnell@dell.com, rich.rothberg@dell.com, jennifer.saavedra@dell.com, bill.scannell@dell.com, pete.trizzino@dell.com",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Dell_Logo.svg/3840px-Dell_Logo.svg.png
Delta Airlines,GLAAD,,"CA, NY, UT",Travel,,162500,155000,0,7500,"RGA,RSLC","ed.bastian@delta.com, peter.carter@delta.com, allison.ausband@delta.com, alain.bellemare@delta.com, amala.duggirala@delta.com, joe.esposito@delta.com, ranjan.goswami@delta.com, dan.janki@delta.com, tim.mapes@delta.com, eric.phillips@delta.com, steve.sear@delta.com, erik.snell@delta.com, henry.ting@delta.com",https://teammarketing.com/wp-content/uploads/1997/06/Delta-Airlines-Logo-NEW.png
Diageo,,,"AZ, IL",Food & Beverage,"Guiness, Smirnoff, Baileys, Don Julio, Ketel One, Ciroc",242500,150000,67500,25000,"RGA,RAGA,RSLC","sally.grimes@diageo.com, cristina.santamaria@diageo.com, stephen.rust@diageo.com, stephanie.childs@diageo.com, michael.ward@diageo.com, laura.merritt@diageo.com",https://mma.prnewswire.com/media/709776/SMIRNOFF_Pride_Logo.jpg?p=facebook
Gilead,GLAAD,,"AZ, CA, PA, TX, WA, WI",Health,,101000,51000,0,50000,"RGA,RSLC","daniel.oday@gilead.com, andrew.dickinson@gilead.com, stacey.ma@gilead.com, flavius.martin@gilead.com, jyoti.mehra@gilead.com, johanna.mercier@gilead.com, cindy.perettie@gilead.com, keeley.wettan@gilead.com",https://images.squarespace-cdn.com/content/v1/61699a7fecfccf7f54900d3e/87330c08-1f54-4ca5-bd8a-f4d50196e759/Gilead.png
Google,GLAAD,,CA,Tech & Media,"YouTube, Waze, Waymo, Android, Fitbit",450000,340000,50000,60000,"RGA,RAGA,RSLC",anat.ashkenazi@google.com,https://www.freepnglogos.com/uploads/google-logo-png/google-logo-png-suite-everything-you-need-know-about-google-newest-0.png
JPMorgan Chase,Human Rights Campaign,,NY,Finance,,129000,0,25500,103500,"RAGA,RSLC","jamie.dimon@jpmchase.com, ashley.bacon@jpmchase.com, jeremy.barnum@jpmchase.com, lori.beer@jpmchase.com, tim.berry@jpmchase.com, mary.callahan-erdoes@jpmchase.com, stacey.friedman@jpmchase.com, teresa.heitsenrether@jpmchase.com, marianne.lake@jpmchase.com, robin.leopold@jpmchase.com, douglas.petno@jpmchase.com, jennifer.piepszak@jpmchase.com, troy.rohrbaugh@jpmchase.com, reid.broda@jpmchase.com, lou.rauchenberger@jpmchase.com, joseph.evangelisti@jpmchase.com, mikael.grubb@jpmchase.com, elena.korablina@jpmchase.com",https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/who-we-are/people/images/lgbt-2015-jpmc.jpg
Lyft,Human Rights Campaign,,NY,Travel,,109482,0,0,109482,RSLC,lllewellyn@lyft.com,https://cdn.shopify.com/s/files/1/0837/6785/3350/files/LyftPride-works.jpg?v=1731270885&width=2048
McDonalds,GLAAD,,CA,Shopping & Restaurants,,125000,0,50000,75000,"RAGA,RSLC","chris.kempczinski@us.mcd.com, ian.borden@us.mcd.com, tiffanie.boyd@us.mcd.com, joe.erlinger@us.mcd.com, morgan.flatley@us.mcd.com, jill.mcdonald@us.mcd.com, desiree.ralls-morrison@us.mcd.com, brian.rice@us.mcd.com, manu.steijaert@us.mcd.com, jon.banner@us.mcd.com, skye.anderson@us.mcd.com, mason.smoot@us.mcd.com, mattijs.backx@us.mcd.com",https://media.licdn.com/dms/image/v2/C4D12AQFlB8qTgweM_A/article-inline_image-shrink_1000_1488/article-inline_image-shrink_1000_1488/0/1579744424188?e=1781740800&v=beta&t=02iLQTNXh1YiVQjXUIjvdeiFmN-g2LSTmP3m9JPe7XE
Microsoft,Human Rights Campaign,,WA,Tech & Media,"LinkedIn, GitHub, Activision, Xbox",300000,250000,50000,0,"RGA,RAGA","judson.althoff@microsoft.com, takeshi.numoto@microsoft.com",https://cdn.wallpaperhub.app/cloudcache/7/c/6/2/d/8/7c62d84125398876d1e1e1622a557ff37891d22f.jpg
PepsiCo,GLAAD,,"AZ, WI",Food & Beverage,,90000,50000,25000,15000,"RGA,RAGA,RSLC","ramon.laguarta@pepsico.com, anne.tse@pepsico.com, athina.kanioura@pepsico.com, becky.schmitt@pepsico.com, christine.tammara@pepsico.com, david.flavell@pepsico.com, eugene.willemsen@pepsico.com, gregg.roden@pepsico.com, jane.wakely@pepsico.com, jim.andrew@pepsico.com, rachel.ferdinando@pepsico.com, ram.krishnan@pepsico.com, roberto.martinez@pepsico.com, silviu.popovici@pepsico.com, stephen.kehoe@pepsico.com, steve.schmitt@pepsico.com, steven.williams@pepsico.com, tara.glasgow@pepsico.com",https://pridews.org/wp-content/uploads/2017/08/pepsicolockupbrands_2line.png
Pernod Ricard,GLAAD,,TX,Food & Beverage,"Absolut, Malibu, Jameson, Kahlua",175000,100000,75000,0,"RGA,RAGA","conor.mcquaid@pernod-ricard-usa.com, colin.kavanagh@pernod-ricard-usa.com, brian.chevlin@pernod-ricard-usa.com, lani.montoya@pernod-ricard-usa.com, vincent.turpin@pernod-ricard-usa.com, ron.hurley@pernod-ricard-usa.com, paul.basford@pernod-ricard-usa.com",https://www.thedrinksbusiness.com/content/uploads/2023/06/Pernod_Ricard_USA.jpg
Spotify,GLAAD,,,Tech & Media,,25000,0,25000,0,RAGA,dusteej@spotify.com,https://miro.medium.com/1*tbbDLD5ES_IYjQgftCIj2Q.png
Starbucks,Human Rights Campaign,,"CA, TX, WA",Shopping & Restaurants,,100000,100000,0,0,RGA,"bniccol@starbucks.com, bbrewer@starbucks.com, dcarr@starbucks.com, mgrams@starbucks.com, skelly@starbucks.com, mliu@starbucks.com, csmith@starbucks.com, msandland@starbucks.com, sshah@starbucks.com",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a4e012b7c67064a0c0e155a9
T-Mobile,Human Rights Campaign,,"AZ, PA",Tech & Media,"Mint Mobile, UScellular",268182,100000,50000,118182,"RGA,RAGA,RSLC","ExecutiveResponse@t-mobile.com, Srini.Gopalan@t-mobile.com, Andre.Almeida@t-mobile.com, Jon.Freier@t-mobile.com, Mike.Katz@t-mobile.com, Deeanne.King@t-mobile.com, Mark.Nelson@t-mobile.com, Peter.Osvaldik@t-mobile.com, John.Saw@t-mobile.com, Mike.Sievert@t-mobile.com, Stefan.Bewley@t-mobile.com, George.Fischer@t-mobile.com, Cameron.Janes@t-mobile.com, Ankur.Kapoor@t-mobile.com, Mo.Katibeh@t-mobile.com, Lucy.McLellan@t-mobile.com, Allan.Samson@t-mobile.com, Christie.Sandoval@t-mobile.com, Jeff.Simon@t-mobile.com, Mike.Simpson@t-mobile.com, Edward.Smith@t-mobile.com","https://static.wixstatic.com/media/1b643a_bbf2f43569e448a1beb9960e7943f1bc~mv2.png/v1/fill/w_980,h_643,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/1b643a_bbf2f43569e448a1beb9960e7943f1bc~mv2.png"
